,School_ID,Short_Name,Long_Name,School_Type
55,400104,INSTITUTO - HEALTH,Instituto Health Sciences Career Academy,Charter
57,609698,BOGAN HS,William J Bogan High School,Neighborhood
59,610524,ALCOTT HS,Louisa May Alcott College Preparatory HS,Small
61,609728,ROOSEVELT HS,Theodore Roosevelt High School,Neighborhood
63,400066,PERSPECTIVES - MATH & SCI HS,Perspectives - Math and Science Academy,Charter
65,400086,URBAN PREP - ENGLEWOOD HS,Urban Prep Academy for Young Men - Englewood,Charter
67,610557,PATHWAYS - ASHBURN HS,Pathways in Education- Ashburn,Citywide-Option
68,609705,FENGER HS,Christian Fenger Academy High School,Neighborhood
70,400051,NOBLE - NOBLE HS,Noble - Noble College Prep,Charter
72,609694,HANCOCK HS,John Hancock College Preparatory High School,Selective enrollment
74,609739,WASHINGTON HS,George Washington High School,Neighborhood
76,609761,CORLISS HS,George H Corliss High School,Neighborhood
78,609754,CHICAGO MILITARY HS,Chicago Military Academy High School,Military academy
